current_kf,historical_kf,current_submap,historical_submap,overlap,loop_rmse,frontend_world_x,frontend_world_y,frontend_world_z,loop_world_x,loop_world_y,loop_world_z,world_error_dx,world_error_dy,world_error_dz,world_error_norm,frontend_rel_tx,frontend_rel_ty,frontend_rel_tz,frontend_rel_roll_deg,frontend_rel_pitch_deg,frontend_rel_yaw_deg,loop_rel_tx,loop_rel_ty,loop_rel_tz,loop_rel_roll_deg,loop_rel_pitch_deg,loop_rel_yaw_deg,relative_error_tx,relative_error_ty,relative_error_tz,relative_error_roll_deg,relative_error_pitch_deg,relative_error_yaw_deg,relative_translation_norm,relative_rotation_deg,graph_correction_translation,graph_correction_rotation_deg,graph_gate_pass
213,159,20,15,0.454545455,0.589830226,55.965226033,-54.934063580,1.025516337,55.602802762,-27.874569597,0.032251875,0.362423270,-27.059493983,0.993264462,27.080142901,22.115895526,-6.527222279,0.266459179,2.129205912,-0.999212791,-77.371534433,-4.490278162,-1.522188515,-0.362268296,1.513107808,1.143933546,4.586862767,26.103049349,-7.083892595,1.337588412,3.050783958,-2.657297556,-81.972693154,27.080248566,81.984236014,27.080142901,81.984236014,0
214,39,20,3,0.584426947,0.518503908,55.494450120,-55.103044630,1.033108855,18.033120756,0.412330127,-0.006635280,37.461329364,-55.515374757,1.039744134,66.980512838,20.621300460,-63.224766859,1.970996212,3.312496487,0.673717569,-170.196352514,-3.744377647,-0.868365560,-0.122337854,2.299529018,3.042543376,15.969929379,6.149089329,-66.502976544,5.095571686,5.276771576,3.942972128,173.973847914,66.980758727,173.802381191,66.980512838,173.802381191,0
215,39,21,3,0.543533390,0.543437039,54.961783895,-55.339546924,1.052016291,18.818060833,0.219543792,-0.029270066,36.143723062,-55.559090715,1.081286357,66.289897104,20.049488333,-63.338863143,1.977084102,2.850656004,0.016091669,-168.367888263,-3.020357965,-1.228363577,-0.124937209,2.071911646,2.913740412,15.265311969,5.788396401,-65.863212870,4.783679641,4.736501110,3.053504287,176.470034826,66.289908232,176.348132681,66.289897104,176.348132681,0
216,125,21,12,0.478476821,0.585570137,54.495832238,-55.523638665,1.063722443,54.117011785,-9.308046839,-0.383140631,0.378820454,-46.215591827,1.446863075,46.239786392,43.588562065,-4.275788677,0.935870680,2.034537162,-2.456880133,-70.620141331,-2.511242913,-0.897318739,-0.293668835,5.075112674,4.639490707,-5.724328404,45.956179693,1.670614628,4.834167577,4.090182777,-9.017872430,-64.895928573,46.239924106,65.245951812,46.239786392,65.245951812,0
217,92,21,8,0.479508197,0.585568918,54.204422287,-55.561994255,1.081270645,53.348926527,1.928972609,-1.396812937,0.855495760,-57.490966864,2.478083581,57.550708442,18.667480180,-56.098142891,2.495097949,3.565468278,-1.589598725,-148.081417144,3.484525567,-0.693768417,-0.957034804,7.522566626,-7.313601384,91.211875962,-54.820465699,-12.510423093,12.259911545,13.667567396,1.192865144,120.190174407,57.550843404,120.519686287,57.550708442,120.519686287,0
218,125,21,12,0.587423313,0.584002023,53.636580829,-55.694003409,1.100706427,55.634317972,-9.980100735,-0.311991240,-1.997737143,-45.713902674,1.412697668,45.779335579,43.688462807,-5.145578115,0.982680095,2.286680007,-2.377960981,-78.805562169,-1.717255786,0.560792833,-0.244355277,2.118350135,2.400110562,-22.095809537,44.127398761,11.898206732,2.639736139,3.132448396,-5.465627675,-56.723292911,45.779502528,56.894369908,45.779335579,56.894369908,0
219,35,21,3,0.670751634,0.524240456,53.073805301,-55.815283022,1.127625523,17.542981074,0.768533679,0.091417194,35.530824227,-56.583816701,1.036208329,66.822462618,24.852014836,-62.000482030,1.708400164,3.658522023,0.755394352,-175.410085234,-1.689154814,-0.698570692,0.010315877,-1.382650522,2.846284889,-1.459314377,27.974821133,-60.663209711,1.627621923,2.581044759,3.730576288,-174.027320042,66.822636756,174.116006687,66.822462618,174.116006687,0
220,23,21,2,0.577099237,0.576440106,52.496422994,-55.949091644,1.143276229,12.208876018,0.334202489,-0.356055711,40.287546977,-56.283294132,1.499331939,69.232533076,24.195338060,-65.120442247,2.242148599,3.452753276,0.701325651,179.028428874,-0.303935317,-0.422498900,-0.423440774,2.383506816,-0.102941864,0.383969069,24.070017249,-64.695802834,5.317505336,5.838168590,0.654245051,178.670543250,69.232857067,178.638968230,69.232533076,178.638968230,0
221,36,21,3,0.670023238,0.525888094,51.986850073,-56.040278052,1.155524229,17.705346409,0.895433985,0.247493366,34.281503663,-56.935712037,0.908030863,66.465941042,25.327333261,-61.154553195,1.944317008,3.089972976,0.003028970,-175.147294422,-2.081460997,-0.629185547,0.166906810,-3.165692411,6.664567897,-1.044470322,28.108680629,-60.204372043,1.751765914,0.605731143,6.949251671,-174.438160595,66.466029095,174.485161339,66.465941042,174.485161339,0
222,40,21,3,0.640784983,0.522053257,51.471124153,-56.121067946,1.169262204,18.743518547,0.006045391,0.223427675,32.727605606,-56.127113337,0.945834530,64.978793642,13.538631410,-63.914621343,1.255029872,2.165038519,1.107510103,176.480792744,-3.777159096,-1.296395364,0.086784294,-3.975795355,4.405763833,-5.993619655,23.599679268,-60.529712681,-1.209751825,-1.635664531,5.668172004,-177.903451011,64.978877170,177.825352665,64.978793642,177.825352665,0
223,41,21,3,0.683876092,0.547852519,50.917820821,-56.145431608,1.175364995,18.575019404,0.937881428,-0.043587528,32.342801417,-57.083313036,1.218952524,65.620479089,18.549804737,-62.223438666,0.872111682,1.478985198,1.878946480,175.663729642,-4.210971345,-0.686048812,-0.197466709,-2.793406571,4.803559009,-0.261510879,22.870978514,-61.506006068,-0.002192149,-1.668353012,6.462679617,175.578907512,65.620655631,175.680439460,65.620479089,175.680439460,0
