accepted_step,timestamp,keyframe_count,imu_valid,imu_sample_count,accel_norm_mps2,accel_norm_error_mps2,accel_std_norm_mps2,ground_valid,ground_quality,localmap_ground_valid,localmap_ground_corr,current_ground_L_x,current_ground_L_y,current_ground_L_z,current_ground_W_x,current_ground_W_y,current_ground_W_z,localmap_ground_L_x,localmap_ground_L_y,localmap_ground_L_z,localmap_ground_W_x,localmap_ground_W_y,localmap_ground_W_z,imu_up_L_x,imu_up_L_y,imu_up_L_z,imu_up_W_x,imu_up_W_y,imu_up_W_z,slam_up_L_x,slam_up_L_y,slam_up_L_z,gravity_ref_valid,gravity_ref_W_x,gravity_ref_W_y,gravity_ref_W_z,ground_to_map_deg,slam_to_imu_gravity_deg,frontend_gravity_drift_deg,ground_to_imu_gravity_deg,localmap_to_imu_gravity_deg,ground_to_slam_up_deg,localmap_to_slam_up_deg,current_ground_to_gravity_ref_deg,localmap_ground_to_gravity_ref_deg,world_roll_deg,world_pitch_deg,world_yaw_deg,world_x_m,world_y_m,world_z_m
20,1782712602.439109564,1,1,21,9.807966547,0.001316547,0.040627018,1,0.743440094,1,94,-0.002293422,0.023836740,0.999713234,-0.002672740,0.025175226,0.999679481,-0.008223449,0.017236572,0.999817621,-0.008614945,0.018586122,0.999790147,-0.006437538,0.007590231,0.999950472,-0.006846844,0.008936698,0.999936626,0.000425760,-0.001333930,0.999999020,1,-0.006585694,0.007816696,0.999947763,0.508413629,0.645052786,0.065895814,0.960769499,0.562140779,1.450695335,1.173822500,1.019655767,0.627969153,-0.076428592,-0.024394273,-0.105397279,-0.003505699,-0.004458185,0.002254287
21,1782712602.538767099,1,1,21,9.806612543,0.000037457,0.040800096,1,0.803641659,1,100,-0.000592068,0.021292938,0.999773104,0.002576293,0.020729731,0.999781797,-0.000691016,0.010473300,0.999944915,0.002461290,0.009910162,0.999947864,-0.006240413,0.007475362,0.999952587,-0.003092647,0.006920724,0.999971269,-0.003137274,0.000559406,0.999994922,1,-0.006585694,0.007816696,0.999947763,0.620026692,0.434323132,0.206620292,0.855350510,0.361388905,1.196950524,0.585070649,0.907231636,0.532052717,0.032051742,0.179752838,-0.087770664,-0.009974918,0.012261121,0.006885093
22,1782712602.638790846,1,1,21,9.809707352,0.003057352,0.039418501,1,0.764282680,1,93,-0.003443483,0.022059329,0.999750733,-0.004424096,0.023523100,0.999713505,-0.006909873,0.013479521,0.999885271,-0.007895090,0.014945302,0.999857143,-0.006517832,0.007583671,0.999950002,-0.007506187,0.009049350,0.999930881,0.000993124,-0.001461855,0.999998438,1,-0.006585694,0.007816696,0.999947763,0.530249663,0.673657920,0.088150423,0.847977513,0.338574121,1.371534966,0.968488033,0.908501821,0.415305410,-0.083758221,-0.056901838,-0.029788603,-0.013268234,-0.007957310,0.001749020
23,1782712602.738789558,1,1,21,9.805673865,0.000976135,0.040277197,1,0.800870696,1,85,0.001985229,0.021951428,0.999757067,0.004445915,0.020740702,0.999775003,0.000001840,0.001445075,0.999998956,0.002459104,0.000234455,0.999996949,-0.006281807,0.007626340,0.999951188,-0.003823429,0.006416987,0.999972101,-0.002457218,0.001210141,0.999996249,1,-0.006585694,0.007816696,0.999947763,1.180512571,0.427985949,0.177430984,0.947714363,0.505032460,1.215441047,0.141535338,0.973628965,0.676242598,0.069336215,0.140788368,-0.011069178,-0.008814383,0.009489032,0.001715847
24,1782712602.838720560,1,1,21,9.806546790,0.000103210,0.039165266,1,0.808666543,1,103,0.000415421,0.023548637,0.999722606,-0.001893059,0.022704372,0.999740430,-0.007499910,0.011094453,0.999910328,-0.009773745,0.010227845,0.999899928,-0.006353479,0.007453834,0.999952036,-0.008617180,0.006590426,0.999941154,0.002245261,0.000839258,0.999997127,1,-0.006585694,0.007816696,0.999947763,0.845570700,0.621584294,0.135957962,1.000498329,0.218703127,1.305491640,0.810584966,0.894459701,0.229037113,0.048086074,-0.128644100,0.160977824,0.007007127,-0.009399588,-0.004924875
25,1782712602.938957930,1,1,21,9.809106036,0.002456036,0.039710714,1,0.715220726,1,83,0.002514876,0.020666333,0.999783266,0.005291954,0.018350528,0.999817610,-0.001676685,0.006134867,0.999979776,0.001108005,0.003816587,0.999992103,-0.006267598,0.007598991,0.999951485,-0.003483679,0.005278516,0.999980000,-0.002786583,0.002318846,0.999993429,1,-0.006585694,0.007816696,0.999947763,0.866617690,0.362367098,0.229654711,0.902150580,0.276097832,1.094320893,0.227703660,0.909654825,0.496844978,0.132860744,0.159659651,0.028154643,-0.017659913,0.014128940,-0.000123885
26,1782712603.039201021,1,1,21,9.807424231,0.000774231,0.040293967,1,0.794872130,1,90,0.002850413,0.021094580,0.999773421,0.000592106,0.020864534,0.999782137,-0.004961394,0.007005611,0.999963152,-0.007226196,0.006778902,0.999950913,-0.006508024,0.007683583,0.999949303,-0.008772497,0.007457545,0.999933712,0.002267825,0.000229843,0.999997402,1,-0.006585694,0.007816696,0.999947763,0.923093495,0.659716903,0.126975736,0.937048057,0.096758669,1.196017888,0.567704389,0.853300212,0.069874329,0.013169044,-0.129936898,-0.024776028,0.001646151,0.005256833,-0.006154757
27,1782712603.139046669,1,1,21,9.807554579,0.000904579,0.040668791,1,0.547707955,1,71,0.008868424,0.019419549,0.999772090,0.013437383,0.015908356,0.999783157,-0.003799336,0.006156715,0.999973830,0.000789971,0.002626294,0.999996239,-0.006585001,0.007577304,0.999949610,-0.001997837,0.004042865,0.999989832,-0.004593175,0.003531601,0.999983215,1,-0.006585694,0.007816696,0.999947763,1.050913068,0.258379475,0.340377978,1.115563072,0.179168168,1.193213674,0.157135616,1.237434701,0.516754613,0.202348408,0.263170445,0.084190576,-0.017958276,0.012834380,-0.000808416
28,1782712603.238782644,1,1,21,9.809685140,0.003035140,0.041562483,1,0.785805083,1,113,0.001754051,0.021655601,0.999763951,-0.001910337,0.023546744,0.999720912,-0.004499555,0.009505714,0.999944696,-0.008192338,0.011411509,0.999901327,-0.006362875,0.007527166,0.999951427,-0.010060190,0.009437231,0.999904861,0.003719087,-0.001887198,0.999991303,1,-0.006585694,0.007816696,0.999947763,0.783011149,0.790351226,0.219676186,0.933654330,0.155720863,1.353687699,0.804898511,0.940333306,0.225618554,-0.108129279,-0.213088477,-0.130616792,-0.000407569,0.007470143,-0.009531609
29,1782712603.339103222,1,1,21,9.804794059,0.001855941,0.039153752,1,0.684395039,1,84,0.007853066,0.019838295,0.999772360,0.011785745,0.017711482,0.999773674,-0.005578343,0.004627736,0.999973733,-0.001639345,0.002495630,0.999995542,-0.006467191,0.007551272,0.999950576,-0.002529320,0.005418884,0.999982119,-0.003939939,0.002131537,0.999989967,1,-0.006585694,0.007816696,0.999947763,1.162721188,0.342637341,0.269989577,1.081180658,0.175082060,1.219025654,0.171079932,1.195633505,0.416263313,0.122129138,0.225742452,0.020901872,0.002035596,0.008717722,0.004545725
