accepted_step,timestamp,dt_from_previous_s,previous_world_z,current_world_z,previous_roll_deg,previous_pitch_deg,previous_yaw_deg,local_dx,local_dy,local_dz,pitch_step_m,roll_step_m,local_z_step_m,world_z_step_m,reconstructed_step_m,step_closure_error_m,cumulative_pitch_m,cumulative_roll_m,cumulative_local_z_m,cumulative_world_z_m,cumulative_sum_m,cumulative_closure_error_m,max_abs_step_closure_error_m
40,1782712604.538980484,0.100085497,0.007455588,-0.004372588,-0.008516325,0.212649882,-0.118108470,0.000866468,-0.012042240,-0.011826832,-0.000003216,0.000001790,-0.011826751,-0.011828176,-0.011828176,-0.000000000,-0.000529017,-0.000615797,-0.003227774,-0.004372588,-0.004372588,-0.000000000,0.000000000
41,1782712604.638990879,0.100010395,-0.004372588,-0.000187349,0.126481019,-0.118543912,0.152060674,-0.002798755,0.009673426,0.004169694,-0.000005791,0.000021354,0.004169675,0.004185239,0.004185239,0.000000000,-0.000534808,-0.000594443,0.000941902,-0.000187349,-0.000187349,0.000000000,0.000000000
42,1782712604.839054346,0.200063467,-0.000187349,0.005475789,0.027930666,0.165928904,-0.056475242,-0.006047110,0.005630022,0.005642906,0.000017512,0.000002745,0.005642881,0.005663138,0.005663138,0.000000000,-0.000517295,-0.000591699,0.006584783,0.005475789,0.005475789,0.000000000,0.000000000
43,1782712604.938802004,0.099747658,0.005475789,-0.015069124,0.076518035,0.270560151,-0.017354387,-0.000518520,-0.016487618,-0.020525590,0.000002449,-0.000022019,-0.020525343,-0.020544913,-0.020544913,-0.000000000,-0.000514847,-0.000613717,-0.013940560,-0.015069124,-0.015069124,-0.000000000,0.000000000
44,1782712605.038994074,0.100192070,-0.015069124,0.004872860,-0.144766699,-0.344792232,-0.008545710,0.004628514,0.007876311,0.019934455,0.000027853,-0.000019900,0.019934031,0.019941984,0.019941984,0.000000000,-0.000486994,-0.000633618,0.005993471,0.004872860,0.004872860,0.000000000,0.000000000
45,1782712605.138975382,0.099981308,0.004872860,-0.013820254,0.050857074,0.275665182,0.039310456,0.020001456,0.005553958,-0.018602034,-0.000096232,0.000004930,-0.018601811,-0.018693113,-0.018693113,-0.000000000,-0.000583226,-0.000628688,-0.012608340,-0.013820254,-0.013820254,-0.000000000,0.000000000
46,1782712605.238969803,0.099994421,-0.013820254,0.003274404,-0.118290566,-0.299053156,-0.195974060,-0.020431993,-0.004700672,0.017191867,-0.000106644,0.000009705,0.017191596,0.017094657,0.017094657,0.000000000,-0.000689869,-0.000618983,0.004583256,0.003274404,0.003274404,0.000000000,0.000000000
47,1782712605.340082169,0.101112366,0.003274404,-0.006431773,0.085324455,0.201534302,0.071198873,0.010592953,0.003084633,-0.009673581,-0.000037260,0.000004594,-0.009673510,-0.009706176,-0.009706176,-0.000000000,-0.000727129,-0.000614390,-0.005090254,-0.006431773,-0.006431773,-0.000000000,0.000000000
48,1782712605.438875437,0.098793268,-0.006431773,0.009674895,-0.131148093,-0.104260228,-0.240668556,-0.008176716,-0.003890143,0.016112711,-0.000014879,0.000008904,0.016112642,0.016106667,0.016106667,0.000000000,-0.000742008,-0.000605485,0.011022388,0.009674895,0.009674895,0.000000000,0.000000000
49,1782712605.539055586,0.100180149,0.009674895,-0.002379766,0.033940602,0.243513522,-0.005091947,0.012257604,-0.005086348,-0.011999662,-0.000052096,-0.000003013,-0.011999551,-0.012054660,-0.012054660,-0.000000000,-0.000794104,-0.000608498,-0.000977163,-0.002379766,-0.002379766,-0.000000000,0.000000000
50,1782712605.638453245,0.099397659,-0.002379766,0.010693252,-0.100866567,-0.089688476,-0.122777027,-0.019161318,0.009461395,0.013119705,-0.000029994,-0.000016656,0.013119668,0.013073018,0.013073018,0.000000000,-0.000824098,-0.000625155,0.012142505,0.010693252,0.010693252,0.000000000,0.000000000
51,1782712605.739030123,0.100576878,0.010693252,-0.003426713,0.037791921,0.179260157,-0.067849657,0.018425743,-0.010664317,-0.014055354,-0.000057648,-0.000007034,-0.014055283,-0.014119965,-0.014119965,-0.000000000,-0.000881747,-0.000632189,-0.001912777,-0.003426713,-0.003426713,-0.000000000,0.000000000
52,1782712605.839367390,0.100337267,-0.003426713,0.006661792,-0.062079049,-0.086250542,-0.041276740,-0.014564130,0.005416621,0.010116315,-0.000021924,-0.000005869,0.010116297,0.010088504,0.010088504,0.000000000,-0.000903671,-0.000638058,0.008203520,0.006661792,0.006661792,0.000000000,0.000000000
53,1782712605.939104080,0.099736691,0.006661792,0.008636822,0.044081628,0.101702181,-0.002812316,0.004325119,0.002040016,0.001981141,-0.000007677,0.000001570,0.001981138,0.001975030,0.001975030,0.000000000,-0.000911348,-0.000636488,0.010184658,0.008636822,0.008636822,0.000000000,0.000000000
